GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core,bookingsystem.core,Treatment,4,22,0,0,2,10,1,5,1,5
core,bookingsystem.core,Salon,95,0,0,0,28,0,8,0,8,0
core,bookingsystem.core,Users,194,118,11,13,43,30,17,13,10,8
core,bookingsystem.core,User,84,162,3,13,13,49,6,21,3,16
core,bookingsystem.core,Booking,25,103,6,10,5,34,6,14,0,12
core,bookingsystem.core,HairDresser,0,16,0,0,0,8,0,4,0,4
core,bookingsystem.json,UsersModule,0,60,0,0,0,11,0,2,0,2
core,bookingsystem.json,UsersSerializer,0,27,0,2,0,8,0,3,0,2
core,bookingsystem.json,BookingDeserializer,12,83,6,6,3,21,7,2,1,2
core,bookingsystem.json,UserSerializer,0,53,0,2,0,13,0,3,0,2
core,bookingsystem.json,UsersModule.new VersionUtil() {...},0,3,0,0,0,1,0,1,0,1
core,bookingsystem.json,TreatmentSerializer,0,18,0,0,0,6,0,2,0,2
core,bookingsystem.json,UsersDeserializer,2,59,3,5,1,14,3,4,0,3
core,bookingsystem.json,UsersPersistence,14,15,0,0,3,4,2,1,2,1
core,bookingsystem.json,UserDeserializer,12,104,8,10,3,27,9,3,1,2
core,bookingsystem.json,HairDresserSerializer,0,13,0,0,0,5,0,2,0,2
core,bookingsystem.json,HairDresserDeserializer,12,26,2,2,3,8,3,2,1,2
core,bookingsystem.json,TreatmentDeserializer,16,33,3,3,4,10,4,2,1,2
core,bookingsystem.json,BookingSerializer,0,32,1,1,0,9,1,2,0,2
